[start] 148 pending
  [image_gen] 1/148 done, 1 OK, 0 failed
  [image_gen] 2/148 done, 2 OK, 0 failed
  [image_gen] 3/148 done, 3 OK, 0 failed
  [image_gen] 4/148 done, 4 OK, 0 failed
  [image_gen] 5/148 done, 5 OK, 0 failed
  [image_gen] 6/148 done, 6 OK, 0 failed
  [image_gen] 7/148 done, 7 OK, 0 failed
  [image_gen] 8/148 done, 7 OK, 1 failed
  [image_gen] 9/148 done, 8 OK, 1 failed
  [image_gen] 10/148 done, 9 OK, 1 failed
  [image_gen] 11/148 done, 10 OK, 1 failed
  [image_gen] 12/148 done, 11 OK, 1 failed
  [image_gen] 13/148 done, 12 OK, 1 failed
  [image_gen] 14/148 done, 13 OK, 1 failed
  [image_gen] 15/148 done, 14 OK, 1 failed
  [image_gen] 16/148 done, 15 OK, 1 failed
  [image_gen] 17/148 done, 16 OK, 1 failed
  [image_gen] 18/148 done, 16 OK, 2 failed
  [image_gen] 19/148 done, 17 OK, 2 failed
  [image_gen] 20/148 done, 18 OK, 2 failed
  [image_gen] 21/148 done, 19 OK, 2 failed
  [image_gen] 22/148 done, 20 OK, 2 failed
  [image_gen] 23/148 done, 21 OK, 2 failed
  [image_gen] 24/148 done, 22 OK, 2 failed
  [image_gen] 25/148 done, 23 OK, 2 failed
  [image_gen] 26/148 done, 24 OK, 2 failed
  [image_gen] 27/148 done, 25 OK, 2 failed
  [image_gen] 28/148 done, 26 OK, 2 failed
  [image_gen] 29/148 done, 27 OK, 2 failed
  [image_gen] 30/148 done, 28 OK, 2 failed
  [image_gen] 31/148 done, 29 OK, 2 failed
  [image_gen] 32/148 done, 30 OK, 2 failed
  [image_gen] 33/148 done, 31 OK, 2 failed
  [image_gen] 34/148 done, 32 OK, 2 failed
  [image_gen] 35/148 done, 33 OK, 2 failed
  [image_gen] 36/148 done, 34 OK, 2 failed
  [image_gen] 37/148 done, 34 OK, 3 failed
  [image_gen] 38/148 done, 35 OK, 3 failed
  [image_gen] 39/148 done, 36 OK, 3 failed
  [image_gen] 40/148 done, 37 OK, 3 failed
  [image_gen] 41/148 done, 38 OK, 3 failed
  [image_gen] 42/148 done, 39 OK, 3 failed
